K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,MinMax,K-Means++,5624.366159327387,,0.3204789608131632,1.2333863984101088,2992.0260490204064,0.4918055834715871,0.5650767066351938,0.6464473797829149,0.6341885007278021
9,euclidean,MinMax,K-Means++,5267.049736397912,,0.3174697945002646,1.2626794562052321,2888.5106056586756,0.5352377161346361,0.5937122403393397,0.6699423508519664,0.6924126637554585
10,euclidean,MinMax,K-Means++,5004.427891216659,,0.29037329202975126,1.347021963382001,2766.0940405129786,0.5952772876705698,0.6378697936723899,0.6913766757932808,0.7664665211062591
11,euclidean,MinMax,K-Means++,4715.747846318001,,0.3229482164061191,1.2927096666728597,2708.8622803166622,0.5630297817983253,0.6106674901396578,0.6993476803503655,0.727165211062591
12,euclidean,MinMax,K-Means++,4432.193323192043,,0.2981894011486871,1.2846298856349092,2683.7709840992025,0.6003951120352868,0.6399595796617822,0.7154900117968638,0.8155931586608443
8,manhattan,MinMax,K-Means++,54728.549460627626,,0.3152422242663461,1.401073094280353,2843.78305974147,0.5390970493689056,0.5987892463534323,0.6754714706183359,0.6784024745269287
9,manhattan,MinMax,K-Means++,51063.01846503304,,0.31217911812160093,1.3987080636429678,2716.0738391435716,0.5249812872440726,0.5823953868212454,0.6721842106130536,0.6844978165938864
10,manhattan,MinMax,K-Means++,47775.729484591524,,0.321636161572265,1.3241261253272634,2677.265033655116,0.5365119259856211,0.5898199914920992,0.6799576425983195,0.7172489082969432
11,manhattan,MinMax,K-Means++,45547.75256564875,,0.3142701806727893,1.4355465236427465,2571.9181236119994,0.5797151917898477,0.6228067347630104,0.692397935321791,0.7437227074235808
12,manhattan,MinMax,K-Means++,42960.46387132691,,0.31343703357313835,1.3637022217883743,2590.301427173828,0.6301989452048764,0.6662376904813463,0.7176629508251715,0.7977620087336245
8,cosine,MinMax,K-Means++,28.922751954079313,,0.46588435265547556,1.290435611566467,2964.7131748966635,0.4615658478898753,0.5377599490624678,0.6291028848565029,0.6056222707423581
9,cosine,MinMax,K-Means++,25.31324975491721,,0.47998833554249043,1.229983532996639,2868.0845591822244,0.4825840964705509,0.5531401143427298,0.6556664055351731,0.646561135371179
10,cosine,MinMax,K-Means++,22.700117345501265,,0.47845211295890083,1.2738376425294407,2821.004025910703,0.5291313154891657,0.5847626491912111,0.679286667945158,0.7048762736535662
11,cosine,MinMax,K-Means++,21.186276800923334,,0.48270698746731916,1.2692829857845793,2653.3434036021363,0.5378054657773442,0.5901489255418964,0.6831309428393834,0.7288937409024745
12,cosine,MinMax,K-Means++,18.93706803340735,,0.4882107313250807,1.2734042366970726,2639.1913749106384,0.5673538612461385,0.6130604579039589,0.7115946820306831,0.758551673944687
