silhouette_score,davies_bouldin_score,calinski_harabasz_score,adjusted_rand_index,normalized_mutual_info,fowlkes_mallows_index,purity_score,dataset_type,n_clusters,affinity,n_neighbors,eigen_solver,assign_labels,n_init,gamma,execution_time
0.21430894812497822,1.9433908166083842,24.820916493288443,0.3725773531590398,0.20474026521844407,0.8004886515224662,0.8387096774193549,full,2,nearest_neighbors,5,arpack,kmeans,3,N/A,0.008642911911010742
0.21430894812497822,1.9433908166083842,24.820916493288443,0.3725773531590398,0.20474026521844407,0.8004886515224662,0.8387096774193549,full,2,nearest_neighbors,5,arpack,kmeans,5,N/A,0.005661964416503906
0.21430894812497822,1.9433908166083842,24.820916493288443,0.3725773531590398,0.20474026521844407,0.8004886515224662,0.8387096774193549,full,2,nearest_neighbors,5,arpack,kmeans,7,N/A,0.0068280696868896484
0.20631562089944275,2.0192624528556,25.43870157096881,0.42787798704255825,0.2555768369658014,0.8091655774586052,0.8516129032258064,full,2,nearest_neighbors,5,arpack,cluster_qr,3,N/A,0.003856182098388672
0.20631562089944275,2.0192624528556,25.43870157096881,0.42787798704255825,0.2555768369658014,0.8091655774586052,0.8516129032258064,full,2,nearest_neighbors,5,arpack,cluster_qr,5,N/A,0.0044100284576416016
0.20631562089944275,2.0192624528556,25.43870157096881,0.42787798704255825,0.2555768369658014,0.8091655774586052,0.8516129032258064,full,2,nearest_neighbors,5,arpack,cluster_qr,7,N/A,0.004108905792236328
0.10389203715344181,2.284958067758528,21.521859593915085,0.1208368832621731,0.1288586580915864,0.5731737820652277,0.832258064516129,full,3,nearest_neighbors,5,arpack,kmeans,3,N/A,0.005985736846923828
0.10389203715344181,2.284958067758528,21.521859593915085,0.1208368832621731,0.1288586580915864,0.5731737820652277,0.832258064516129,full,3,nearest_neighbors,5,arpack,kmeans,5,N/A,0.005331993103027344
0.10389203715344181,2.284958067758528,21.521859593915085,0.1208368832621731,0.1288586580915864,0.5731737820652277,0.832258064516129,full,3,nearest_neighbors,5,arpack,kmeans,7,N/A,0.005423069000244141
0.12489055388477113,2.3769704043435644,22.348961243291193,0.1473958034785529,0.16714450449357307,0.5712604150466322,0.8387096774193549,full,3,nearest_neighbors,5,arpack,cluster_qr,3,N/A,0.0037660598754882812
0.12489055388477113,2.3769704043435644,22.348961243291193,0.1473958034785529,0.16714450449357307,0.5712604150466322,0.8387096774193549,full,3,nearest_neighbors,5,arpack,cluster_qr,5,N/A,0.0036988258361816406
0.12489055388477113,2.3769704043435644,22.348961243291193,0.1473958034785529,0.16714450449357307,0.5712604150466322,0.8387096774193549,full,3,nearest_neighbors,5,arpack,cluster_qr,7,N/A,0.0032432079315185547
0.09354961614255376,2.5443492930671345,18.40680742187045,0.09489404116880171,0.1255998047111801,0.4824832078789427,0.8387096774193549,full,4,nearest_neighbors,5,arpack,kmeans,3,N/A,0.005928993225097656
0.09354961614255376,2.5443492930671345,18.40680742187045,0.09489404116880171,0.1255998047111801,0.4824832078789427,0.8387096774193549,full,4,nearest_neighbors,5,arpack,kmeans,5,N/A,0.005187034606933594
0.09354961614255376,2.5443492930671345,18.40680742187045,0.09489404116880171,0.1255998047111801,0.4824832078789427,0.8387096774193549,full,4,nearest_neighbors,5,arpack,kmeans,7,N/A,0.005733966827392578
0.09407083146670685,2.5452108783452116,18.526105902386963,0.08462446815754333,0.12153814389716047,0.47182334885347066,0.8387096774193549,full,4,nearest_neighbors,5,arpack,cluster_qr,3,N/A,0.0034630298614501953
0.09407083146670685,2.5452108783452116,18.526105902386963,0.08462446815754333,0.12153814389716047,0.47182334885347066,0.8387096774193549,full,4,nearest_neighbors,5,arpack,cluster_qr,5,N/A,0.003948211669921875
0.09407083146670685,2.5452108783452116,18.526105902386963,0.08462446815754333,0.12153814389716047,0.47182334885347066,0.8387096774193549,full,4,nearest_neighbors,5,arpack,cluster_qr,7,N/A,0.003407001495361328
0.045648356379906586,2.3511397813979227,14.524797811830458,0.07094228955383461,0.11721581418980888,0.45063022137788045,0.8451612903225807,full,5,nearest_neighbors,5,arpack,kmeans,3,N/A,0.004967927932739258
0.045648356379906586,2.3511397813979227,14.524797811830458,0.07094228955383461,0.11721581418980888,0.45063022137788045,0.8451612903225807,full,5,nearest_neighbors,5,arpack,kmeans,5,N/A,0.005609273910522461
0.045648356379906586,2.3511397813979227,14.524797811830458,0.07094228955383461,0.11721581418980888,0.45063022137788045,0.8451612903225807,full,5,nearest_neighbors,5,arpack,kmeans,7,N/A,0.00703120231628418
0.05321587683568325,2.401083555716375,14.863593052994165,0.06862023779078259,0.13318748351412454,0.4303846999969789,0.8516129032258064,full,5,nearest_neighbors,5,arpack,cluster_qr,3,N/A,0.0037691593170166016
0.05321587683568325,2.401083555716375,14.863593052994165,0.06862023779078259,0.13318748351412454,0.4303846999969789,0.8516129032258064,full,5,nearest_neighbors,5,arpack,cluster_qr,5,N/A,0.0039598941802978516
0.05321587683568325,2.401083555716375,14.863593052994165,0.06862023779078259,0.13318748351412454,0.4303846999969789,0.8516129032258064,full,5,nearest_neighbors,5,arpack,cluster_qr,7,N/A,0.005769968032836914
0.061941295456120905,2.2861081839894517,12.774032152779009,0.0606698488772565,0.12007193941656501,0.4265586317860964,0.8451612903225807,full,6,nearest_neighbors,5,arpack,kmeans,3,N/A,0.0047948360443115234
0.06291973613228997,2.2699194322030305,12.952786554618083,0.06449532041362084,0.12841964985944532,0.4293286496447489,0.8516129032258064,full,6,nearest_neighbors,5,arpack,kmeans,5,N/A,0.005530118942260742
